country_code,country,nickname,region_member_of,population,ethnicity,white,yellow,brown,black,male_name,female_name
AFG,Afghanistan,Afghanistan,Southern Asia,35000000,Afghanistan,1,1,97,1,Mohamed,Maryam
ALB,Albania,Albania,Southern Europe,2000000,Albania,97,1,1,1,Noel,Amelia
DZA,Algeria,Algeria,Northern Africa,41000000,Algeria,1,1,97,1,Mohamed,Fatima
ASM,American Samoa,American Samoa,Polynesia,60000,Samoa,1,1,97,1,Noah,Emma
AND,Andorra,Andorra,Southern Europe,80000,Andorra,94,1,4,1,Marc,Laia
AGO,Angola,Angola,Middle Africa,29000000,Angola,3,2,6,89,Manuel,Maria
AIA,Anguilla,Anguilla,Caribbean,10000,Guyana,2,2,60,36,Jack,Amelia
ATG,Antigua and Barbuda,Antigua and Barbuda,Caribbean,100000,Guyana,2,2,60,36,Sebastian,Camila
ARG,Argentina,Argentina,South America,44000000,Argentina,97,1,1,1,Santiago,Sofia
ARM,Armenia,Armenia,Western Asia,2000000,Armenia,1,1,97,1,Davit,Nareh
ABW,Aruba,Aruba,Caribbean,110000,Guyana,2,2,60,36,Sebastian,Camila
AUS,Australia,Australia,Australia and New Zealand,24000000,Australia,91,7,1,1,Oliver,Charlotte
AUT,Austria,Austria,Western Europe,8000000,Austria,96,1,2,1,Lukas,Anna
AZE,Azerbaijan,Azerbaijan,Western Asia,9000000,Azerbaijan,3,1,95,1,Yusif,Zahra
BHM,"Bahamas, The",Bahamas,Caribbean,400000,Bahamas,12,1,2,85,Sebastian,Camila
BHR,Bahrain,Bahrain,Western Asia,1000000,Bahrain,9,9,72,10,Mohamed,Maryam
BGD,Bangladesh,Bangladesh,Southern Asia,164000000,Bangladesh,1,1,97,1,Aarav,Aadya
BRB,Barbados,Barbados,Caribbean,290000,Barbados,4,3,3,90,Sebastian,Camila
BLR,Belarus,Belarus,Eastern Europe,9000000,Belarus,97,1,1,1,Maksim,Palina
BEL,Belgium,Belgium,Western Europe,11000000,Belgium,91,1,7,1,Lucas,Emma
BLZ,Belize,Belize,Central America,370000,Belize,3,3,91,3,Sebastian,Camila
BEN,Benin,Benin,Western Africa,11000000,Benin,1,1,1,97,Mamadou,Fatoumata
BMU,Bermuda,Bermuda,Northern America,60000,United States of America,70,4,13,13,Noah,Emma
BTN,Bhutan,Bhutan,Southern Asia,810000,Bhutan,1,1,97,1,Aarav,Aadya
BOL,Bolivia,Bolivia,South America,11000000,Bolivia (Plurinational State of),15,1,83,1,Agustin,Sofia
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Southern Europe,3000000,Bosnia and Herzegovina,97,1,1,1,Daris,Sara
BWA,Botswana,Botswana,Southern Africa,2000000,Botswana,3,1,3,93,Junior,Precious
BRA,Brazil,Brazil,South America,209000000,Brazil,54,1,39,6,Miguel,Alice
VGB,British Virgin Islands,British Virgin Islands,Caribbean,30000,Guyana,2,2,60,36,Jack,Amelia
BRN,Brunei,Brunei,South America,11000000,Bolivia (Plurinational State of),15,1,83,1,Agustin,Sofia
BGR,Bulgaria,Bulgaria,Eastern Europe,7000000,Bulgaria,84,1,14,1,Georgi,Viktoria
BFA,Burkina Faso,Burkina Faso,Western Africa,19000000,Burkina Faso,1,1,1,97,Mamadou,Fatoumata
MMR,Burma,Myanmar,South-Eastern Asia,53000000,Myanmar,1,4,94,1,Mohamed,Maryam
BDI,Burundi,Burundi,Eastern Africa,10000000,Burundi,1,1,1,97,Manuel,Maria
CPV,Cabo Verde,Cabo Verde,Western Africa,550000,Cabo Verde,1,1,70,28,Mamadou,Fatoumata
KHM,Cambodia,Cambodia,South-Eastern Asia,16000000,Cambodia,1,97,1,1,Muhamed,Hannah
CMR,Cameroon,Cameroon,Middle Africa,24000000,Cameroon,1,1,1,97,Manuel,Maria
CAN,Canada,Canada,Northern America,36000000,Canada,68,2,28,2,Liam,Emma
CYM,Cayman Islands,Cayman Islands,Caribbean,60000,Guyana,2,2,60,36,Noah,Emma
CAF,Central African Republic,Central African Republic,Middle Africa,4000000,Central African Republic,1,1,1,97,Manuel,Maria
TCD,Chad,Chad,Middle Africa,14000000,Chad,1,1,1,97,Manuel,Maria
CHL,Chile,Chile,South America,18000000,Chile,95,1,3,1,Agustin,Sofia
CHN,China,China,Eastern Asia,1400000000,China,1,97,1,1,Cheng,Li
COL,Colombia,Colombia,South America,49000000,Colombia,20,1,75,4,Santiago,Mariana
COM,Comoros,Comoros,Eastern Africa,810000,Comoros,1,1,1,97,Manuel,Maria
COD,"Congo, Democratic Republic of the",Democratic Republic of the Congo,Middle Africa,5000000,Congo,1,1,1,97,Manuel,Maria
COG,"Congo, Republic of the",Congo,Middle Africa,5000000,Congo,1,1,1,97,Manuel,Maria
COK,Cook Islands,Cook Islands,Polynesia,20000,Samoa,1,1,97,1,Nikau,Maia
CRI,Costa Rica,Costa Rica,Central America,4000000,Costa Rica,48,1,48,3,Sebastian,Camila
CIV,Cote d'Ivoire,Ivory Coast,Western Africa,24000000,C�te d'Ivoire,1,1,1,97,Mamadou,Fatoumata
HRV,Croatia,Croatia,Southern Europe,4000000,Croatia,97,1,1,1,Lukas,Lana
CUB,Cuba,Cuba,Caribbean,11000000,Cuba,37,1,51,11,Sebastian,Camila
CUW,Curacao,Curacao,Caribbean,160000,Guyana,2,2,60,36,Sebastian,Camila
CYP,Cyprus,Cyprus,Western Asia,1000000,Cyprus,77,1,21,1,Andreas,Maria
CZE,Czech Republic,Czech Republic,Eastern Europe,10000000,Czechia,97,1,1,1,Jakub,Tereza
