name,wiki_name,raw_summary,clean_summary,sent_count,token_count,first_sent
Afghanistan,Afghanistan,"Afghanistān (officially called Islamic Republic of Afghanistan; Persian: جمهوری اسلامی افغانستان, Pashto: د افغانستان اسلامي جمهوريت) is a country in South Asia. It has borders with Pakistan in the south and east, Iran in the west, Turkmenistan, Uzbekistan and Tajikistan in the north, and China in the far northeast.
In early times people passed through it with animals and other goods as it connected China and India with Central Asia and the Middle East. More recently, Afghanistan has been damaged by many years of war and there not being enough jobs.
The country is around 251,826 square miles (652,230 square kilometers) in size or area. There are 30 million people in Afghanistan. There are about 3 million Afghan refugees (people who had to leave the country) who are in Pakistan and Iran for some time. Kabul, its capital, had about 3,691,400 people living in it in 2011.","Afghanistān is a country in South Asia. It has borders with Pakistan in the south and east, Iran in the west, Turkmenistan, Uzbekistan and Tajikistan in the north, and China in the far northeast. In early times people passed through it with animals and other goods as it connected China and India with Central Asia and the Middle East. More recently, Afghanistan has been damaged by many years of war and there not being enough jobs. The country is around 251,826 square miles in size or area. There are 30 million people in Afghanistan. There are about 3 million Afghan refugees who are in Pakistan and Iran for some time. Kabul, its capital, had about 3,691,400 people living in it in 2011.",8,137,Afghanistān is a country in South Asia.
Albania,Albania,"Albania (officially called Republic of Albania; Albanian: Shqipëria) is an independent republic in Southeastern Europe, with an area of 28,748 square kilometres (11,100 sq mi). The capital is Tirana, and other important cities are Durrës, Elbasan and Vlora. Over 3 million people live in Albania. The most Albanians are Muslims with 55%, 23% Eastern Orthodox and 15% Roman Catholics.
Albania is next to Kosovo, Montenegro, Greece and Macedonia. It has a coast on the Adriatic Sea in the west, and a coast on the Ionian Sea in the southwest. The official language is Albanian. The national anthem is Hymni i Flamurit.","Albania is an independent republic in Southeastern Europe, with an area of 28,748 square kilometres. The capital is Tirana, and other important cities are Durrës, Elbasan and Vlora. Over 3 million people live in Albania. The most Albanians are Muslims with 55%, 23% Eastern Orthodox and 15% Roman Catholics. Albania is next to Kosovo, Montenegro, Greece and Macedonia. It has a coast on the Adriatic Sea in the west, and a coast on the Ionian Sea in the southwest. The official language is Albanian. The national anthem is Hymni i Flamurit.",8,109,"Albania is an independent republic in Southeastern Europe, with an area of 28,748 square kilometres."
Algeria,Algeria,"Algeria (official name: People's Democratic Republic of Algeria) is a country in the Western part of North Africa. The capital city is Algiers. It is the largest country in Africa. The name is from the city of Algiers. It is bordered by the Mediterranean Sea in the north, Tunisia in the northeast, Libya in the east, Niger in the southeast, Mauritania and Mali in the southwest, Western Sahara in the west and Morocco in the northwest.","Algeria is a country in the Western part of North Africa. The capital city is Algiers. It is the largest country in Africa. The name is from the city of Algiers. It is bordered by the Mediterranean Sea in the north, Tunisia in the northeast, Libya in the east, Niger in the southeast, Mauritania and Mali in the southwest, Western Sahara in the west and Morocco in the northwest.",5,79,Algeria is a country in the Western part of North Africa.
American Samoa,American Samoa,"American Samoa is a territory of the United States in Samoan Islands, in the South Pacific Ocean.
International rivalries in the latter half of the 19th century were settled by an 1899 treaty in which Germany and the US divided the Samoan archipelago. The US formally occupied its portion - a smaller group of eastern islands with the noted harbor of Pago Pago - the following year. The western islands are now the independent state of Samoa. Though technically considered ""unorganized"" in that the US Congress has not passed an Organic Act for the territory, American Samoa is self-governing under a constitution that became effective on July 1, 1967.
The capital is Pago Pago, but the seat of government is Fagatogo.","American Samoa is a territory of the United States in Samoan Islands, in the South Pacific Ocean. International rivalries in the latter half of the 19th century were settled by an 1899 treaty in which Germany and the US divided the Samoan archipelago. The US formally occupied its portion - a smaller group of eastern islands with the noted harbor of Pago Pago - the following year. The western islands are now the independent state of Samoa. Though technically considered ""unorganized"" in that the US Congress has not passed an Organic Act for the territory, American Samoa is self-governing under a constitution that became effective on July 1, 1967. The capital is Pago Pago, but the seat of government is Fagatogo.",6,133,"American Samoa is a territory of the United States in Samoan Islands, in the South Pacific Ocean."
Andorra,Andorra,"Andorra (officially called the Principality of Andorra) is a European country between Spain and France. There are about 84,000 people living in the country. The capital is Andorra la Vella. It is ruled by a Spanish Bishop and the French President. Andorra's government is a parliamentary democracy.
Andorra is a rich country mostly because of tourism. There are about 10.2 million visitors each year.
The official language is Catalan, although Spanish, Portuguese, and French are also used.
It is not a member of the European Union.The euro is the money used.","Andorra is a European country between Spain and France. There are about 84,000 people living in the country. The capital is Andorra la Vella. It is ruled by a Spanish Bishop and the French President. Andorra's government is a parliamentary democracy. Andorra is a rich country mostly because of tourism. There are about 10.2 million visitors each year. The official language is Catalan, although Spanish, Portuguese, and French are also used. It is not a member of the European Union.The euro is the money used.",9,98,Andorra is a European country between Spain and France.
Angola,Angola,"Angola (officially called the Republic of Angola) is a country in Africa. The capital is Luanda. Angola is in the south of the continent.
Angola is a member state of the African Union, the Community of Portuguese Language Countries, the Latin Union, South Atlantic Peace and Cooperation Zone and the Southern African Development Community.","Angola is a country in Africa. The capital is Luanda. Angola is in the south of the continent. Angola is a member state of the African Union, the Community of Portuguese Language Countries, the Latin Union, South Atlantic Peace and Cooperation Zone and the Southern African Development Community.",4,55,Angola is a country in Africa.
Anguilla,Anguilla,"Anguilla is a group of five islands in the Caribbean Sea. The islands are ruled by Great Britain.
Anguilla was once part of what is now Saint Kitts and Nevis, but broke away in 1980. Anguilla wanted to still be a part of Great Britain, and Saint Kitts and Nevis wanted to be independent.
It is named after the Spanish word for ""eel"", because it has such a shape.","Anguilla is a group of five islands in the Caribbean Sea. The islands are ruled by Great Britain. Anguilla was once part of what is now Saint Kitts and Nevis, but broke away in 1980. Anguilla wanted to still be a part of Great Britain, and Saint Kitts and Nevis wanted to be independent. It is named after the Spanish word for ""eel"", because it has such a shape.",5,79,Anguilla is a group of five islands in the Caribbean Sea.
Antigua and Barbuda,Antigua and Barbuda,"Antigua and Barbuda is an island nation in the eastern Caribbean Sea on the boundary with the Atlantic Ocean. Antigua and Barbuda are part of the Lesser Antilles archipelago. In 2011, about 81,800 people lived there. The capital and largest port and city is St. John's, on Antigua. The country used to be a part of the British Empire. The nation still belongs to the British Commonwealth.","Antigua and Barbuda is an island nation in the eastern Caribbean Sea on the boundary with the Atlantic Ocean. Antigua and Barbuda are part of the Lesser Antilles archipelago. In 2011, about 81,800 people lived there. The capital and largest port and city is St. John's, on Antigua. The country used to be a part of the British Empire. The nation still belongs to the British Commonwealth.",6,76,Antigua and Barbuda is an island nation in the eastern Caribbean Sea on the boundary with the Atlantic Ocean.
Argentina,Argentina,"Argentina (officially the Argentine Republic) is a country in South America. Argentina is the second-largest country in South America and the eighth-largest country in the world.
Spanish is the language most people speak and the official language, but many other languages are spoken. There are minorities speaking Italian, German, English, Quechua and even Welsh in Patagonia.
The capital city of the Argentina is Buenos Aires, one of the largest cities in the world, in eastern Argentina. In order by number of people, the largest cities in Argentina are Buenos Aires, Córdoba, Rosario, Mendoza, La Plata, Tucumán, Mar del Plata, Salta, Santa Fe, and Bahía Blanca.
Argentina is between the Andes mountain range in the west and the southern Atlantic Ocean in the east and south. It is bordered by Paraguay and Bolivia in the north, Brazil and Uruguay in the northeast, and Chile in the west and south. It also claims the Falkland Islands (Spanish: Islas Malvinas) and South Georgia and the South Sandwich Islands.","Argentina is a country in South America. Argentina is the second-largest country in South America and the eighth-largest country in the world. Spanish is the language most people speak and the official language, but many other languages are spoken. There are minorities speaking Italian, German, English, Quechua and even Welsh in Patagonia. The capital city of the Argentina is Buenos Aires, one of the largest cities in the world, in eastern Argentina. In order by number of people, the largest cities in Argentina are Buenos Aires, Córdoba, Rosario, Mendoza, La Plata, Tucumán, Mar del Plata, Salta, Santa Fe, and Bahía Blanca. Argentina is between the Andes mountain range in the west and the southern Atlantic Ocean in the east and south. It is bordered by Paraguay and Bolivia in the north, Brazil and Uruguay in the northeast, and Chile in the west and south. It also claims the Falkland Islands and South Georgia and the South Sandwich Islands.",9,185,Argentina is a country in South America.
Armenia,Armenia,"Armenia (officially called the Republic of Armenia) is a country in the western part of Asia. Its capital city is Yerevan. Armenia received its independence from the Soviet Union in 1991.
Armenia touches Turkey, Georgia, Azerbaijan, and Iran.
There are some minorities living in Armenia, such as Greek, Russian, and other minorities, and more than 90% of the people are ethnic Armenians. Also, the Armenian Apostolic Church, is by far the largest religion in the country. There is a small amount of other Christians, Muslims and atheists.
Armenia is the place that some Christians believe Noah's Ark landed, and Noah's family settled. The Armenian name for Armenia (Hayastan) means Land of Haik. Haik was the name of a great-great-grandson of Noah.
Throughout history, Armenia's size has changed many times. Today Armenia is much smaller than it was once. In 80 BCE, the Kingdom of Armenia covered parts of what is today Turkey, Syria, Lebanon, Iran, Iraq, Azerbaijan, and, of course, Armenia.
From 1920 to 1991, Armenia was a member of the Soviet Union.
Today, Armenia's borders are locked with Turkey and Azerbaijan, due to conflicts. In 1992, Armenia and Azerbaijan had a war over the land of Nagorno-Karabakh. The fighting stopped in 1994, and Armenia has had control over this land, but Azerbaijan still disputes about the land.","Armenia is a country in the western part of Asia. Its capital city is Yerevan. Armenia received its independence from the Soviet Union in 1991. Armenia touches Turkey, Georgia, Azerbaijan, and Iran. There are some minorities living in Armenia, such as Greek, Russian, and other minorities, and more than 90% of the people are ethnic Armenians. Also, the Armenian Apostolic Church, is by far the largest religion in the country. There is a small amount of other Christians, Muslims and atheists. Armenia is the place that some Christians believe Noah's Ark landed, and Noah's family settled. The Armenian name for Armenia means Land of Haik. Haik was the name of a great-great-grandson of Noah. Throughout history, Armenia's size has changed many times. Today Armenia is much smaller than it was once. In 80 BCE, the Kingdom of Armenia covered parts of what is today Turkey, Syria, Lebanon, Iran, Iraq, Azerbaijan, and, of course, Armenia. From 1920 to 1991, Armenia was a member of the Soviet Union. Today, Armenia's borders are locked with Turkey and Azerbaijan, due to conflicts. In 1992, Armenia and Azerbaijan had a war over the land of Nagorno-Karabakh. The fighting stopped in 1994, and Armenia has had control over this land, but Azerbaijan still disputes about the land.",17,260,Armenia is a country in the western part of Asia.
