name,query
animals,animals
boy,boy child face
cities,cities
computers ,computers for kids learning
employment,employment
fish,fish
food,traditional food
girl,girl child face -adult -baby
girls,school girls -baby -adult
health,health
homes,homes
houses,houses
landscape,landscape
map,country map for kids
money,money
nature,nature
oceans,oceans
people,people
plants,plants
poos,poos
power,power station -map -graph
school,school
science,science
seas,seas
sharing,sharing
technology,technology
toilets,toilets
transport,transport
unemployment,unemployment
water,water
working,work -graph
